age_bin,target_agent,template_path,n_windows_requested,status,error_preview
70-74,2.3,data\des_dsa_templates_v4_all_0p1\age_70_74_et_2.3.npz,1,ok,
70-74,2.4,data\des_dsa_templates_v4_all_0p1\age_70_74_et_2.4.npz,1,ok,
70-74,2.5,data\des_dsa_templates_v4_all_0p1\age_70_74_et_2.5.npz,14,ok,
70-74,2.6,data\des_dsa_templates_v4_all_0p1\age_70_74_et_2.6.npz,3,ok,
70-74,2.7,data\des_dsa_templates_v4_all_0p1\age_70_74_et_2.7.npz,2,ok,
70-74,2.9,data\des_dsa_templates_v4_all_0p1\age_70_74_et_2.9.npz,5,ok,
70-74,3.0,data\des_dsa_templates_v4_all_0p1\age_70_74_et_3.0.npz,17,ok,
70-74,3.1,data\des_dsa_templates_v4_all_0p1\age_70_74_et_3.1.npz,1,ok,
70-74,3.2,data\des_dsa_templates_v4_all_0p1\age_70_74_et_3.2.npz,1,ok,
70-74,3.4,data\des_dsa_templates_v4_all_0p1\age_70_74_et_3.4.npz,1,ok,
70-74,3.5,data\des_dsa_templates_v4_all_0p1\age_70_74_et_3.5.npz,26,ok,
70-74,3.6,data\des_dsa_templates_v4_all_0p1\age_70_74_et_3.6.npz,3,ok,
70-74,3.8,data\des_dsa_templates_v4_all_0p1\age_70_74_et_3.8.npz,1,ok,
70-74,3.9,data\des_dsa_templates_v4_all_0p1\age_70_74_et_3.9.npz,1,ok,
70-74,4.0,data\des_dsa_templates_v4_all_0p1\age_70_74_et_4.0.npz,27,ok,
70-74,4.1,data\des_dsa_templates_v4_all_0p1\age_70_74_et_4.1.npz,6,ok,
70-74,4.2,data\des_dsa_templates_v4_all_0p1\age_70_74_et_4.2.npz,1,ok,
70-74,4.4,data\des_dsa_templates_v4_all_0p1\age_70_74_et_4.4.npz,1,ok,
70-74,4.5,data\des_dsa_templates_v4_all_0p1\age_70_74_et_4.5.npz,35,ok,
70-74,4.6,data\des_dsa_templates_v4_all_0p1\age_70_74_et_4.6.npz,5,ok,
70-74,4.7,data\des_dsa_templates_v4_all_0p1\age_70_74_et_4.7.npz,4,ok,
70-74,4.8,data\des_dsa_templates_v4_all_0p1\age_70_74_et_4.8.npz,2,ok,
70-74,4.9,data\des_dsa_templates_v4_all_0p1\age_70_74_et_4.9.npz,8,ok,
70-74,5.0,data\des_dsa_templates_v4_all_0p1\age_70_74_et_5.0.npz,32,ok,
70-74,5.1,data\des_dsa_templates_v4_all_0p1\age_70_74_et_5.1.npz,2,ok,
70-74,5.2,data\des_dsa_templates_v4_all_0p1\age_70_74_et_5.2.npz,4,ok,
70-74,5.4,data\des_dsa_templates_v4_all_0p1\age_70_74_et_5.4.npz,3,ok,
70-74,5.5,data\des_dsa_templates_v4_all_0p1\age_70_74_et_5.5.npz,35,ok,
70-74,5.6,data\des_dsa_templates_v4_all_0p1\age_70_74_et_5.6.npz,6,ok,
70-74,5.8,data\des_dsa_templates_v4_all_0p1\age_70_74_et_5.8.npz,2,ok,
70-74,5.9,data\des_dsa_templates_v4_all_0p1\age_70_74_et_5.9.npz,4,ok,
70-74,6.0,data\des_dsa_templates_v4_all_0p1\age_70_74_et_6.0.npz,28,ok,
70-74,6.1,data\des_dsa_templates_v4_all_0p1\age_70_74_et_6.1.npz,2,ok,
70-74,6.3,data\des_dsa_templates_v4_all_0p1\age_70_74_et_6.3.npz,1,ok,
70-74,6.4,data\des_dsa_templates_v4_all_0p1\age_70_74_et_6.4.npz,3,ok,
70-74,6.5,data\des_dsa_templates_v4_all_0p1\age_70_74_et_6.5.npz,20,ok,
70-74,6.7,data\des_dsa_templates_v4_all_0p1\age_70_74_et_6.7.npz,1,ok,
70-74,6.9,data\des_dsa_templates_v4_all_0p1\age_70_74_et_6.9.npz,3,ok,
70-74,7.0,data\des_dsa_templates_v4_all_0p1\age_70_74_et_7.0.npz,9,ok,
70-74,7.5,data\des_dsa_templates_v4_all_0p1\age_70_74_et_7.5.npz,3,ok,
70-74,7.6,data\des_dsa_templates_v4_all_0p1\age_70_74_et_7.6.npz,1,ok,
70-74,7.9,data\des_dsa_templates_v4_all_0p1\age_70_74_et_7.9.npz,1,ok,
70-74,8.0,data\des_dsa_templates_v4_all_0p1\age_70_74_et_8.0.npz,3,ok,
70-74,8.4,data\des_dsa_templates_v4_all_0p1\age_70_74_et_8.4.npz,1,ok,
70-74,8.5,data\des_dsa_templates_v4_all_0p1\age_70_74_et_8.5.npz,1,ok,
70-74,9.0,data\des_dsa_templates_v4_all_0p1\age_70_74_et_9.0.npz,1,ok,
70-74,9.5,data\des_dsa_templates_v4_all_0p1\age_70_74_et_9.5.npz,1,ok,
