agent,reference_sex,age_bin,target_agent,n_cases_clean,n_windows_clean,n_female,n_male,mean_age,mean_agent,sd_agent,mean_mac,mean_bis,sd_bis,mean_sef,sd_sef,mean_sqi,delta_power_db,theta_power_db,alpha_power_db,beta_power_db,alpha_peak_freq,alpha_peak_power_db,alpha_delta_diff_db,usable_cell
des,all,20-24,2.5,2,2,2,0,22.5,2.4995833317438763,0.0005892578988208568,0.31250001117587084,55.048749923706055,3.714078116425163,16.816458348433176,0.19604539711842686,98.07500069936117,13.223298712984082,5.857680684357382,11.474837103861091,0.7016284051113872,10.5,11.930281614739705,-1.74846160912299,False
des,all,20-24,3.0,3,3,3,0,21.0,3.012222224473953,0.03653699363927189,0.5813888895842764,48.26277780532837,11.656497792208967,15.41411111354828,1.8216938455867473,93.16749990251328,27.575391611319542,19.005752205031783,15.785729605508939,10.111809330216412,10.5,11.995698117499913,-11.789662005810603,True
des,all,20-24,3.5,4,4,3,1,21.5,3.4945833429694177,0.010285272816998921,0.5295833315700292,51.28354170322418,6.523199926375515,15.725333312153815,1.3744342447114728,94.80083411534626,20.289333393373813,11.611742586683757,12.043192924802486,2.513281418847327,11.0,12.981726567981847,-8.246140468571324,True
des,all,20-24,3.6,2,2,1,1,20.0,3.594999945163727,0.04949747805480634,0.699999988079071,42.33875001271566,3.7565046401836164,14.266374977429708,1.9638122770302575,95.84708449045817,23.636652049272232,15.385661726022349,12.865025544148764,2.999119236846539,9.5,14.186551352245447,-10.771626505123468,False
des,all,20-24,3.8,1,1,0,1,20.0,3.805833293994268,,0.8999999761581421,45.27916663487752,,15.89316664536794,,93.90666720072429,21.995946773201176,15.768580743703785,10.807560313924515,3.814255621198581,9.5,11.325324693433874,-11.18838645927666,False
des,all,20-24,4.0,1,1,0,1,21.0,4.000833332538605,,0.5,55.38833335240682,,17.24091674486796,,99.65833333333332,14.972639355126226,7.847736500292516,12.948278104301792,4.16398108151231,12.5,14.000190507338097,-2.024361250824434,False
des,all,20-24,4.1,1,1,1,0,21.0,4.1058332324028015,,0.6708333318432173,37.25499993960063,,12.76949999332428,,90.43416633605958,27.345619637564717,11.754869747185063,7.776985963011188,-0.6731258133506861,9.5,8.584858427084729,-19.568633674553524,False
des,all,20-24,4.5,1,1,0,1,22.0,4.480000019073486,,0.6000000238418579,41.00333302815755,,14.327250027656556,,93.11916643778484,28.116933303764657,20.39002766098047,19.228734962475027,9.941272994054248,11.5,19.111173658865056,-8.88819834128963,False
des,all,20-24,4.6,2,2,1,1,21.0,4.559166610240936,0.0070710610683697135,0.6000000238418579,38.727083365122475,12.21821592325255,12.377999969323476,3.021938720767098,96.39583349227905,22.608380646989232,12.516493913525615,11.199711244876301,-1.3408876501570766,10.0,12.768489608769373,-11.408669402112933,False
des,all,20-24,4.9,2,2,1,1,23.0,4.88041679263115,0.0017677484083521448,0.6587500028312206,47.11958344777425,9.089268416502078,15.92704162200292,1.9344673426888332,98.11583334604899,20.050193555327517,12.289302048129036,13.102289862398177,2.584742715816652,10.5,13.924740984521044,-6.94790369292934,False
