age_bin,target_agent,template_path,n_windows_requested,status,error_preview
35-39,2.5,data\dsa_templates_v1\age_35_39_et_2.5.npz,10,ok,
35-39,2.6,data\dsa_templates_v1\age_35_39_et_2.6.npz,10,ok,
35-39,2.7,data\dsa_templates_v1\age_35_39_et_2.7.npz,12,ok,
35-39,2.8,data\dsa_templates_v1\age_35_39_et_2.8.npz,7,ok,
35-39,2.9,data\dsa_templates_v1\age_35_39_et_2.9.npz,6,ok,
35-39,3.0,data\dsa_templates_v1\age_35_39_et_3.0.npz,6,ok,
40-44,1.0,data\dsa_templates_v1\age_40_44_et_1.0.npz,21,ok,
40-44,1.1,data\dsa_templates_v1\age_40_44_et_1.1.npz,22,ok,
40-44,1.2,data\dsa_templates_v1\age_40_44_et_1.2.npz,34,ok,
40-44,1.3,data\dsa_templates_v1\age_40_44_et_1.3.npz,31,ok,
40-44,1.4,data\dsa_templates_v1\age_40_44_et_1.4.npz,39,ok,
40-44,1.5,data\dsa_templates_v1\age_40_44_et_1.5.npz,53,ok,
40-44,1.6,data\dsa_templates_v1\age_40_44_et_1.6.npz,56,ok,
40-44,1.7,data\dsa_templates_v1\age_40_44_et_1.7.npz,54,ok,
40-44,1.8,data\dsa_templates_v1\age_40_44_et_1.8.npz,33,ok,
40-44,1.9,data\dsa_templates_v1\age_40_44_et_1.9.npz,58,ok,
40-44,2.0,data\dsa_templates_v1\age_40_44_et_2.0.npz,56,ok,
40-44,2.1,data\dsa_templates_v1\age_40_44_et_2.1.npz,50,ok,
40-44,2.2,data\dsa_templates_v1\age_40_44_et_2.2.npz,46,ok,
40-44,2.3,data\dsa_templates_v1\age_40_44_et_2.3.npz,25,ok,
40-44,2.4,data\dsa_templates_v1\age_40_44_et_2.4.npz,27,ok,
40-44,2.5,data\dsa_templates_v1\age_40_44_et_2.5.npz,14,ok,
40-44,2.6,data\dsa_templates_v1\age_40_44_et_2.6.npz,14,ok,
40-44,2.7,data\dsa_templates_v1\age_40_44_et_2.7.npz,12,ok,
40-44,2.8,data\dsa_templates_v1\age_40_44_et_2.8.npz,10,ok,
40-44,2.9,data\dsa_templates_v1\age_40_44_et_2.9.npz,7,ok,
40-44,3.0,data\dsa_templates_v1\age_40_44_et_3.0.npz,3,ok,
45-49,1.0,data\dsa_templates_v1\age_45_49_et_1.0.npz,41,ok,
45-49,1.1,data\dsa_templates_v1\age_45_49_et_1.1.npz,43,ok,
45-49,1.2,data\dsa_templates_v1\age_45_49_et_1.2.npz,45,ok,
45-49,1.3,data\dsa_templates_v1\age_45_49_et_1.3.npz,51,ok,
45-49,1.4,data\dsa_templates_v1\age_45_49_et_1.4.npz,73,ok,
45-49,1.5,data\dsa_templates_v1\age_45_49_et_1.5.npz,83,ok,
45-49,1.6,data\dsa_templates_v1\age_45_49_et_1.6.npz,74,ok,
45-49,1.7,data\dsa_templates_v1\age_45_49_et_1.7.npz,71,ok,
45-49,1.8,data\dsa_templates_v1\age_45_49_et_1.8.npz,58,ok,
45-49,1.9,data\dsa_templates_v1\age_45_49_et_1.9.npz,71,ok,
45-49,2.0,data\dsa_templates_v1\age_45_49_et_2.0.npz,83,ok,
45-49,2.1,data\dsa_templates_v1\age_45_49_et_2.1.npz,68,ok,
45-49,2.2,data\dsa_templates_v1\age_45_49_et_2.2.npz,63,ok,
45-49,2.3,data\dsa_templates_v1\age_45_49_et_2.3.npz,27,ok,
45-49,2.4,data\dsa_templates_v1\age_45_49_et_2.4.npz,40,ok,
45-49,2.5,data\dsa_templates_v1\age_45_49_et_2.5.npz,22,ok,
45-49,2.6,data\dsa_templates_v1\age_45_49_et_2.6.npz,32,ok,
45-49,2.7,data\dsa_templates_v1\age_45_49_et_2.7.npz,27,ok,
45-49,2.8,data\dsa_templates_v1\age_45_49_et_2.8.npz,8,ok,
45-49,2.9,data\dsa_templates_v1\age_45_49_et_2.9.npz,10,ok,
45-49,3.0,data\dsa_templates_v1\age_45_49_et_3.0.npz,3,ok,
50-54,1.0,data\dsa_templates_v1\age_50_54_et_1.0.npz,49,ok,
50-54,1.1,data\dsa_templates_v1\age_50_54_et_1.1.npz,47,ok,
50-54,1.2,data\dsa_templates_v1\age_50_54_et_1.2.npz,55,ok,
50-54,1.3,data\dsa_templates_v1\age_50_54_et_1.3.npz,75,ok,
50-54,1.4,data\dsa_templates_v1\age_50_54_et_1.4.npz,85,ok,
50-54,1.5,data\dsa_templates_v1\age_50_54_et_1.5.npz,82,ok,
50-54,1.6,data\dsa_templates_v1\age_50_54_et_1.6.npz,97,ok,
50-54,1.7,data\dsa_templates_v1\age_50_54_et_1.7.npz,78,ok,
50-54,1.8,data\dsa_templates_v1\age_50_54_et_1.8.npz,65,ok,
